imdbId,title,year,genres,movieId
tt2510620,Order and Disorder,2009,Documentary,106107
tt2215562,Apollo Zero,2009,Documentary,106682
tt0977646,Dear Me,2008,Comedy|Romance,76533
tt0874957,"No. 1 Ladies' Detective Agency, The",2008,Comedy|Crime|Mystery,79299
tt1103248,Patsy,2008,Comedy|Drama|Mystery|Romance,80768
tt1056117,Punksters & Youngsters (Punk - Tauti joka ei tapa),2008,Documentary,93568
tt1869593,O Panishyros Megistanas Ton Ninja,2008,Action|Comedy|Sci-Fi,99901
tt1141486,Paris,2007,Documentary,70800
tt1020952,Family Meeting,2007,Documentary|Musical,93628
tt0901206,Dangerous Liaisons,2007,Comedy|Crime|Drama|Mystery,95185
tt1220553,"Fighting Spirit, The",2007,Documentary,112367
tt0835046,Mr. Conservative: Goldwater on Goldwater,2006,Documentary,48713
tt1104746,Red Chapel (Røde kapel),2006,Comedy|Documentary,72781
tt0892404,Confessions of a Gangsta,2006,Action,77734
tt0986358,"Jimmy Rosenberg: The Father, the Son & the Talent",2006,Documentary,84861
tt1765980,Out of Balance: ExxonMobil's Impact on Climate Change,2006,Documentary,113636
tt0466214,Faces of Schlock,2005,Comedy|Horror,81758
tt0495705,From B Movie to Cult Film: Western,2005,Adventure|Documentary,82751
tt2155247,Australian Atomic Confessions,2005,Documentary,96769
tt0377059,Eros,2004,Drama,32600
tt0431961,One Shot,2004,Documentary,73453
tt0401019,Island at War,2004,Drama|War,107252
tt2138180,Primus Hallucino-Genetics Live 2004,2004,(no genres listed),113545
tt0419477,"Bar at the Victoria Station, A (Bar na Victorii)",2003,Documentary,67852
tt0195119,Osmosis (Osmose),2003,Comedy|Drama|Romance,93885
tt0372289,Fruitcake,2003,Comedy,94421
tt0309521,"Dogwalker, The",2002,Drama,5565
tt0348862,Prisoner of Paradise,2002,Documentary,7145
tt0368520,Love Hina Again,2002,Animation|Comedy|Drama,96679
tt2364066,Goya: Crazy Like a Genius,2002,Documentary,110895
tt0253016,Love Life,2001,Comedy|Romance,7568
tt0274154,Tango Kabaree,2001,Comedy|Drama,83656
tt0142032,Dune,2000,Drama|Fantasy|Sci-Fi,7842
tt0230992,Zakochani,2000,Comedy|Romance,69201
tt0199031,"Eye for an Eye, An (Silmä silmästä)",1999,Horror,93991
tt0159542,Macbeth in Manhattan,1999,Drama,95230
tt0120881,Vermin,1998,Comedy,1738
tt0133090,Mass Transit,1998,Comedy|Drama,1774
tt0341315,Cloudland,1998,Animation,2588
tt0123953,"Lay of the Land, The",1997,Comedy|Drama,1630
tt0308188,"Dreamworlds II: Desire, Sex, Power in Music Video",1997,Documentary,113972
tt0116403,Get Over It,1996,Drama,1142
tt0115548,Anna,1996,Drama,1316
tt0223249,Faces of Death 5,1996,Documentary|Horror,5738
tt1890371,Chocchan's Story (Chocchan monogatari),1996,Animation|Drama|War,106527
tt0114103,Halfmoon (Paul Bowles - Halbmond),1995,Drama,721
tt0113212,Grateful Dead,1995,Documentary,1421
tt0114322,"Sadness of Sex, The",1995,Drama,1789
tt0125877,Low Life,1994,Drama,730
tt0113610,"Last Klezmer: Leopold Kozlowski, His Life and Music, The",1994,Documentary,791
tt0123281,"Stranger, The",1994,Action,1434
tt0109390,"Century of Cinema, A",1994,Documentary,2270
tt0102336,Loser,1991,Comedy,1107
tt0092337,"Decalogue, The (Dekalog)",1989,Crime|Drama|Romance,26587
tt1226036,G.I. Joe: Operation Dragonfire,1989,Action|Animation,91747
tt0281859,"Flintstone Kids' Just Say No Special, The",1988,Animation|Children,80160
tt0092146,"White Dwarf, The (Valkoinen kääpiö)",1986,Drama,105890
tt0199208,"Day the Universe Changed, The",1985,Documentary,86288
tt0087690,"Master, The",1984,Action,2258
tt0231626,G.I. Joe: A Real American Hero (G.I. Joe: The MASS Device),1983,Action|Animation,91632
tt0085739,"Big Blonde, The (Iso vaalee)",1983,Comedy|Drama,98224
tt0081454,Saturn 3,1980,Adventure|Sci-Fi|Thriller,2851
tt0079914,"Stolen Collection, (Skradziona kolekcja)",1979,Comedy,68544
tt0459131,Seven Brothers (Seitsemän veljestä),1979,Animation|Comedy,112493
tt0443091,Landet som icke är,1977,Drama,103087
tt0073044,Giger's Necronomicon,1975,Documentary,97548
tt0139730,Väreitä,1965,Drama,109565
tt0056600,Horrors of Spider Island (Ein Toter Hing im Netz),1960,Horror|Sci-Fi,4051
tt0046058,Me tulemme taas,1953,Comedy|Musical,109193
tt0133186,Rosvo Roope,1949,Drama|Romance,75402
tt0038426,Costa Brava,1946,Drama,770
tt0121065,"Paimen, piika ja emäntä",1938,Drama,109381
tt0133361,Always Tell Your Wife,1914,Comedy,2230
